Date,timeFrame,gridePoints,Humidity (%),roomHeight (cm),roomWidth(cm),roomLength(cm),num_students,windowsOpen,fansWorking,temperature (oC)
6/3/2026,MORNING,A1,70,379,760,1516,27,15,0,31.4
6/3/2026,MORNING,A2,71,379,760,1516,27,15,0,31.4
6/3/2026,MORNING,A3,71,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,A4,71,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,B1,71,379,760,1516,27,15,0,31.4
6/3/2026,MORNING,B2,71,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,B3,71,379,760,1516,27,15,0,31
6/3/2026,MORNING,B4,72,379,760,1516,27,15,0,31
6/3/2026,MORNING,C1,72,379,760,1516,27,15,0,31
6/3/2026,MORNING,C2,71,379,760,1516,27,15,0,31
6/3/2026,MORNING,C3,71,379,760,1516,27,15,0,31
6/3/2026,MORNING,C4,71,379,760,1516,27,15,0,31
6/3/2026,MORNING,D1,72,379,760,1516,27,15,0,31
6/3/2026,MORNING,D2,71,379,760,1516,27,15,0,31
6/3/2026,MORNING,D3,70,379,760,1516,27,15,0,31.4
6/3/2026,MORNING,D4,71,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,E1,71,379,760,1516,27,15,0,31
6/3/2026,MORNING,E2,70,379,760,1516,27,15,0,31.4
6/3/2026,MORNING,E3,71,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,E4,70,379,760,1516,27,15,0,31.4
6/3/2026,MORNING,F1,70,379,760,1516,27,15,0,31.4
6/3/2026,MORNING,F2,71,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,F3,70,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,F4,69,379,760,1516,27,15,0,31
6/3/2026,MORNING,G1,69,379,760,1516,27,15,0,31.2
6/3/2026,MORNING,G2,69,379,760,1516,27,15,0,31.2
6/3/2026,MORNING,G3,69,379,760,1516,27,15,0,31.2
6/3/2026,MORNING,G4,69,379,760,1516,27,15,0,31.2
6/3/2026,MORNING,H1,69,379,760,1516,27,15,0,31.2
6/3/2026,MORNING,H2,69,379,760,1516,27,15,0,31.2
6/3/2026,MORNING,H3,69,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,H4,70,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,I1,70,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,I2,69,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,I3,71,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,I4,70,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,J1,68,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,J2,68,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,J3,67,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,J4,69,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,K1,67,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,K2,69,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,K3,70,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,K4,69,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,L1,69,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,L2,70,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,L3,69,379,760,1516,27,15,0,31.6
6/3/2026,MORNING,L4,69,379,760,1516,27,15,0,31.6
6/3/2026,AFTERNOON,A1,53,379,760,1516,38,18,0,40.4
6/3/2026,AFTERNOON,A2,53,379,760,1516,38,18,0,40.4
6/3/2026,AFTERNOON,A3,54,379,760,1516,38,18,0,40.6
6/3/2026,AFTERNOON,A4,56,379,760,1516,38,18,0,40.6
6/3/2026,AFTERNOON,B1,53,379,760,1516,38,18,0,40.4
6/3/2026,AFTERNOON,B2,53,379,760,1516,38,18,0,40.6
6/3/2026,AFTERNOON,B3,55,379,760,1516,38,18,0,40
6/3/2026,AFTERNOON,B4,53,379,760,1516,38,18,0,40
